keys	en	fr
action_bouncer	Knock at door	Frapper à la porte
action_door_locked	Door's locked	La porte est vérouillée
action_door_open	Open the door	Ouvrir la porte
action_enter_bar	Enter the bar	Entrer dans le bar
action_exit_by_window	Exit by the window	Sortir par la fenêtre
action_hover_friend	Great your friend	Saluer votre ami
action_pick_up_key	Pick up the key	Ramasser la clé
action_pick_up_phone	Reply	Décrocher
action_pick_up_valve	Pick up the valve	Ramasser la manivelle
bartender	Bartender	Barman
bouncer	Bouncer	Videur
dialog_02_bartender_01	I just saw one of the customer playing the door's keys	Je viens de voir un client jouer avec les clés de la porte
dialog_02_bartender_02	You again ?	Encore toi ?
dialog_02_bartender_03	I've got work to do... so buzz off !	J'ai pas mal de travail... alors casse toi !
dialog_1_bouncer_01	What is it ?	Ouais, c'est pour quoi ?
dialog_1_bouncer_02	This is the back door of the bar	C'est la porte de secour du bar
dialog_1_bouncer_03	Of course you cannot enter	Bien sûr que non tu ne rentres pas par là !
dialog_1_friend_01	Oh ! You here	Ha ! T'es là ?
dialog_1_friend_02	Let's go	Allez ! 
dialog_1_phone_01	You have 1 new message	Vous avez un nouveau message
dialog_1_phone_02	Yo, it's me. Yesterday you fell asleep like an idiot... and now I'm gone	Hey, c'est moi. Hier tu t'es endormi comme un gland... et maintenant je ne suis plus là
dialog_1_phone_03	Meet me at the bar down your street	Rejoins moi au bar en bas de chez toi
dialog_2_01	This bar is great! But the bartender is wierd...	Il est trop bien ce bar! Il y a que le barman qui est chelou...
dialog_2_02	He keeps make me drink every 10 seconds	Il n'arrête pas de me servir toutes les 10 secondes
dialog_2_03	I don't feel too well...	Je ne me sens pas super bien là...
dialog_2_04	I wanna go home... *burp*	Je veux rentrer... *burp*
dialog_2_05	WAKE UP MORON !	RÉVEILLE-TOI DUCON !
dialog_4_01	We're loosing the patien !	C'est la merde
dialog_4_02	Morphin 10 mg	10 mg de Morphine
dialog_4_03	Make way ! make way !	Foutez le camp du passage !
dialog_4_04	You survive the accident, take some rest	Vous avez survecu l'accident, reposez-vous
dialog_4_05	Doctor ?	Docteur ?
dialog_4_06	Yes ?	Oui ?
dialog_4_07	The passenger and the other driver... well...	Le passager et l'autre chauffeur... ils sont...
dialog_4_08	I see	Je vois
dialog_4_09	I'll call the families	Je vais contacter les familles
dialog_bar_hover_bartender_key	Ask the bartender why the door is locked	Demander au barman pourquoi la porte est fermée
dialog_bar_hover_bartender_valve	Ask the bartender where is the door's handle	Demander au barman où est la poignée de la porte
dialog_bar_hover_friend	Talk to your friend	Parler à votre ami
doctor	doctor	docteur
doctor_1	doctor 1	docteur 1
doctor_2	doctor 2	docteur 2
friend	Friend	Ami
nurse	nurce	infirmier
ui_mouse_capture	Hide mouse	Cacher la souris
voice_mail	voice mail	messagerie
flat_plant	I should water the plant	Il faudrait que j'arrose cette plante
hover_exit-door	Exit bar	Sortir du bar
key_inserted	The key fits the lock	La clef est entrée dans la serrure
valve_inserted	You use the valve as a door handle replacement	Vous utilisez la valve comme poignée de porte
find_the_key	The key to open that door must be somewhere around	La clef qui ouvre cette porte doit bien être quelque part
find_the_valve	How am I suppose to open a door without and handle ?	Et je l'ouvre comment la porte sans la poignée ?
missing_handle	Hey ! what happent to the door's handle ?	Heu... elle est où la poignée de la porte ?
hover_bar-bartender	Talk to the bartender	Parler au barman
hover_bar-friend	Talk to your friend	Parler à votre ami
drink_call	This round's on the house !	Tournée générale !
door_is_locked	The door is locked	La porte est vérouillée
key_found	Key car... meh... good enough !	Clef ce bagnole... ça fera l'affaire !
valve_found	I wonder what this valve can open for me ?	Je me demande bien ce que je vais pouvoir ouvrir avec ça
hover_bartender_ask_key	Ask where's the key	Demander où se trouve la clef
hover_bartender_ask_found_key	Show the key	Montrer la clef
hover_bartender_ask_handle	Ask where's the door's handle	Demander où se trouve la poignée de la porte
bartender_ask_found_key	That's a nice key	C'est une chouette clef
hover_item-key	Pick up the key	Ramasser la clef
hover_item-valve	Pick up the valve	Ramasser la manivelle
hover_phone	Pick up the phone	Décrocher
hover_flat-plant	Look	Regarder
hover_door_open	Open	Ouvrir
hover_door_close	Close	Fermer
hover_flat-bouncer	Knock at the door	Frapper à la porte
hover_flat-window	Use the window	Passer par la fenêtre
hover_flat-friend_bar	Talk to your friend	Parler à votre ami
pick_up_phone_first	I can't leave without my phone	Je ne peux pas sortir sans mon téléphone
hover_bar-window_girl	Look at your reflection	Regarder son reflet
hover_bar-window_boy	Look at your reflection	Regarder son reflet
ui_btn_quit	Quit game	Quitter le jeu
ui_btn_continue	Continue	Retour au jeu
ui_btn_options	Options	Options
ui_btn_back	Back	Retour
ui_title_pause_menu	Pause	Pause
ui_title_options_menu	Options	Options
ui_slider_music_volume	Volume	Volume
ui_slider_mouse_sensitivity	Mouse sensitivity	Sensibilité de la souris
ui_select_lang	Language	Langue
ui_locale_fr	Français	Français
ui_locale_en	English	English
